symbol,exchange,currency,type
BND,SMART,USD,ETF
BNDX,SMART,USD,ETF
DIA,SMART,USD,ETF
EEM,SMART,USD,ETF
EMB,SMART,USD,ETF
FXI,SMART,USD,ETF
GOVT,SMART,USD,ETF
HYG,SMART,USD,ETF
IEF,SMART,USD,ETF
IJH,SMART,USD,ETF
IJR,SMART,USD,ETF
IWM,SMART,USD,ETF
JNK,SMART,USD,ETF
KBE,SMART,USD,ETF
KIE,SMART,USD,ETF
KRE,SMART,USD,ETF
LQD,SMART,USD,ETF
MUB,SMART,USD,ETF
QQQ,SMART,USD,ETF
QYLD,SMART,USD,ETF
SHY,SMART,USD,ETF
SMH,SMART,USD,ETF
SPY,SMART,USD,ETF
TIP,SMART,USD,ETF
TLT,SMART,USD,ETF
XAR,SMART,USD,ETF
XBI,SMART,USD,ETF
XES,SMART,USD,ETF
XHB,SMART,USD,ETF
XLB,SMART,USD,ETF
XLC,SMART,USD,ETF
XLE,SMART,USD,ETF
XLF,SMART,USD,ETF
XLI,SMART,USD,ETF
XLK,SMART,USD,ETF
XLP,SMART,USD,ETF
XLRE,SMART,USD,ETF
XLU,SMART,USD,ETF
XLV,SMART,USD,ETF
XLY,SMART,USD,ETF
XME,SMART,USD,ETF
XOP,SMART,USD,ETF
XRT,SMART,USD,ETF
AUDUSD,IDEALPRO,USD,Forex
USDCHF,IDEALPRO,CHF,Forex
USDCNH,IDEALPRO,CNH,Forex
EURUSD,IDEALPRO,USD,Forex
GBPUSD,IDEALPRO,USD,Forex
USDHKD,IDEALPRO,HKD,Forex
USDJPY,IDEALPRO,JPY,Forex
USDKRW,IDEALPRO,KRW,Forex
USDMXN,IDEALPRO,MXN,Forex
NZDUSD,IDEALPRO,USD,Forex
HG,NYMEX,USD,Future
SI,NYMEX,USD,Future
NG,NYMEX,USD,Future
BZ,NYMEX,USD,Future
SPY,SMART,USD,Option
QQQ,SMART,USD,Option
DIA,SMART,USD,Option
IWM,SMART,USD,Option
IJR,SMART,USD,Option
IJH,SMART,USD,Option
FXI,SMART,USD,Option
EEM,SMART,USD,Option
XLB,SMART,USD,Option
XLC,SMART,USD,Option
XLE,SMART,USD,Option
XLF,SMART,USD,Option
XLI,SMART,USD,Option
XLK,SMART,USD,Option
XLP,SMART,USD,Option
XLRE,SMART,USD,Option
XLU,SMART,USD,Option
XLV,SMART,USD,Option
XLY,SMART,USD,Option
COMP,NASDAQ,USD,Index
DAX,DTB,EUR,Index
FVX,CBOE,USD,Index
HSI,HKFE,HKD,Index
INDU,CME,USD,Index
IRX,CBOE,USD,Index
NK,CME,USD,Index
RUT,RUSSELL,USD,Index
SPI,SNFE,AUD,Index
SPX,CBOE,USD,Index
TNX,CBOE,USD,Index
TYX,CBOE,USD,Index
VIX,CBOE,USD,Index
700,SEHK,HKD,Stock
1810,SEHK,HKD,Stock
3690,SEHK,HKD,Stock
9984,SMART,JPY,Stock
A,SMART,USD,Stock
AAL,SMART,USD,Stock
AAN,SMART,USD,Stock
AAON,SMART,USD,Stock
AAP,SMART,USD,Stock
AAPL,SMART,USD,Stock
AAXN,SMART,USD,Stock
ABB,SMART,USD,Stock
ABBV,SMART,USD,Stock
ABC,SMART,USD,Stock
ABCB,SMART,USD,Stock
ABEV,SMART,USD,Stock
ABMD,SMART,USD,Stock
ABT,SMART,USD,Stock
ACC,SMART,USD,Stock
ACHC,SMART,USD,Stock
ACIW,SMART,USD,Stock
ACM,SMART,USD,Stock
ACN,SMART,USD,Stock
ADBE,SMART,USD,Stock
ADC,SMART,USD,Stock
ADI,SMART,USD,Stock
ADM,SMART,USD,Stock
ADP,SMART,USD,Stock
ADS,SMART,USD,Stock
ADSK,SMART,USD,Stock
AEE,SMART,USD,Stock
AEIS,SMART,USD,Stock
AEL,SMART,USD,Stock
AEO,SMART,USD,Stock
AEP,SMART,USD,Stock
AES,SMART,USD,Stock
AFG,SMART,USD,Stock
AFL,SMART,USD,Stock
AGCO,SMART,USD,Stock
AGN,SMART,USD,Stock
AIG,SMART,USD,Stock
AIN,SMART,USD,Stock
AIT,SMART,USD,Stock
AIV,SMART,USD,Stock
AIZ,SMART,USD,Stock
AJG,SMART,USD,Stock
AJRD,SMART,USD,Stock
AKAM,SMART,USD,Stock
AKR,SMART,USD,Stock
ALB,SMART,USD,Stock
ALE,SMART,USD,Stock
ALGN,SMART,USD,Stock
ALK,SMART,USD,Stock
ALL,SMART,USD,Stock
ALLE,SMART,USD,Stock
ALLO,SMART,USD,Stock
ALRM,SMART,USD,Stock
ALXN,SMART,USD,Stock
AMAT,SMART,USD,Stock
AMCX,SMART,USD,Stock
AMD,SMART,USD,Stock
AME,SMART,USD,Stock
AMED,SMART,USD,Stock
AMG,SMART,USD,Stock
AMGN,SMART,USD,Stock
AMN,SMART,USD,Stock
AMP,SMART,USD,Stock
AMT,SMART,USD,Stock
AMX,SMART,USD,Stock
AMZN,SMART,USD,Stock
AN,SMART,USD,Stock
ANET,SMART,USD,Stock
ANSS,SMART,USD,Stock
ANTM,SMART,USD,Stock
AON,SMART,USD,Stock
AOS,SMART,USD,Stock
APA,SMART,USD,Stock
APC,SMART,USD,Stock
APD,SMART,USD,Stock
APH,SMART,USD,Stock
APTV,SMART,USD,Stock
APY,SMART,USD,Stock
ARE,SMART,USD,Stock
ARI,SMART,USD,Stock
ARNC,SMART,USD,Stock
ARW,SMART,USD,Stock
ASB,SMART,USD,Stock
ASGN,SMART,USD,Stock
ASH,SMART,USD,Stock
ASX,SMART,USD,Stock
ATGE,SMART,USD,Stock
ATHM,SMART,USD,Stock
ATI,SMART,USD,Stock
ATO,SMART,USD,Stock
ATR,SMART,USD,Stock
ATVI,SMART,USD,Stock
AU,SMART,USD,Stock
AUO,SMART,USD,Stock
AVA,SMART,USD,Stock
AVAV,SMART,USD,Stock
AVB,SMART,USD,Stock
AVGO,SMART,USD,Stock
AVNS,SMART,USD,Stock
AVT,SMART,USD,Stock
AVX,SMART,USD,Stock
AVY,SMART,USD,Stock
AWK,SMART,USD,Stock
AWR,SMART,USD,Stock
AXE,SMART,USD,Stock
AXP,SMART,USD,Stock
AYI,SMART,USD,Stock
AYX,SMART,USD,Stock
AZN,SMART,USD,Stock
AZO,SMART,USD,Stock
AZUL,SMART,USD,Stock
B,SMART,USD,Stock
BA,SMART,USD,Stock
BABA,SMART,USD,Stock
BAC,SMART,USD,Stock
BAESY,SMART,USD,Stock
BANR,SMART,USD,Stock
BASFY,SMART,USD,Stock
BAX,SMART,USD,Stock
BAYRY,SMART,USD,Stock
BBD,SMART,USD,Stock
BBL,SMART,USD,Stock
BBT,SMART,USD,Stock
BBVA,SMART,USD,Stock
BBY,SMART,USD,Stock
BC,SMART,USD,Stock
BCO,SMART,USD,Stock
BCPC,SMART,USD,Stock
BCS,SMART,USD,Stock
BDC,SMART,USD,Stock
BDORY,SMART,USD,Stock
BDX,SMART,USD,Stock
BEAT,SMART,USD,Stock
BEN,SMART,USD,Stock
BGNE,SMART,USD,Stock
BHGE,SMART,USD,Stock
BHP,SMART,USD,Stock
BIDU,SMART,USD,Stock
BIIB,SMART,USD,Stock
BILI,SMART,USD,Stock
BIO,SMART,USD,Stock
BK,SMART,USD,Stock
BKH,SMART,USD,Stock
BKNG,SMART,USD,Stock
BL,SMART,USD,Stock
BLK,SMART,USD,Stock
BLKB,SMART,USD,Stock
BLL,SMART,USD,Stock
BLUE,SMART,USD,Stock
BMS,SMART,USD,Stock
